CWFlow	Level	OutFlow	TempOF	Steam
1,16E-06	20,73809152	9,04E-05	0,082374653	14,13843906
1,16E-06	20,73795769	9,04E-05	0,082374653	14,13850587
1,16E-06	20,73728852	9,04E-05	0,082374653	14,13883989
1,16E-06	20,73394272	9,04E-05	0,082374653	14,14051
1,16E-06	20,71721479	9,04E-05	0,082374653	14,14886055
1,16E-06	20,63360221	9,03E-05	0,082374653	14,1906133
1,16E-06	20,21621635	9,01E-05	0,082374653	14,39937703
6,27E-07	20,04043016	9,00E-05	0,044324217	14,41014239
6,27E-07	19,76342922	8,99E-05	0,044324217	14,54905256
7,51E-08	19,34187621	8,97E-05	0,005308969	14,68141424
3,52E-07	18,83069119	8,94E-05	0,024862363	14,97887879
-6,97E-07	18,02546512	8,90E-05	-0,049250874	15,01797434
1,70E-06	17,99177868	8,87E-05	0,119935385	15,09363673
5,91E-08	17,05917479	8,84E-05	0,004176157	15,04186763
1,80E-06	16,88342454	8,80E-05	0,127072164	15,0968284
2,64E-07	15,9784128	8,77E-05	19,00407502	10,441205
8,72E-07	15,55421553	8,73E-05	44,32947251	0,049950328
-1,45E-06	14,69595021	8,71E-05	45,31852277	-0,04573196
-7,01E-07	14,54919315	8,69E-05	46,55762772	-0,022172795
1,25E-06	14,67192665	8,68E-05	47,94022468	0,039401414
-6,39E-07	13,93845869	8,66E-05	49,09811604	-0,020206227
-6,39E-07	13,88364904	8,65E-05	49,32837949	-0,020206227
-6,39E-07	13,88364904	8,65E-05	49,32837949	-0,020206227
-6,39E-07	13,88364904	8,65E-05	49,32837949	-0,020206227
5,77E-07	13,89914311	8,64E-05	50,51635444	0,018257417
5,77E-07	13,67552806	8,62E-05	51,50652032	0,018257417
5,77E-07	13,67552806	8,62E-05	51,50652032	0,018257417
-3,60E-07	13,3428788	8,62E-05	51,83884346	-0,011385136
-3,60E-07	13,17874198	8,61E-05	52,23744936	-0,011385136
-3,60E-07	12,8510434	8,59E-05	53,03683619	-0,011385136
-1,36E-07	12,80837432	8,58E-05	53,27996438	-0,004287299
-1,36E-07	12,34500879	8,55E-05	53,88844015	-0,004287299
-1,35E-06	11,95471496	8,54E-05	53,72941771	-0,042669829
-1,35E-06	11,42599001	8,51E-05	53,49575001	-0,042669829
-1,27E-06	11,38528755	8,51E-05	53,48845468	-0,040175153
