CWFlow	Level	OutFlow	Steam	TempOF	Volume
4,34	12,00121	9,04E-05	18,045	4,485	0,003309
4,34	12,00115375	9,04E-05	18,04513918	4,485	0,003308979
4,34	12,00087249	9,04E-05	18,04583505	4,485	0,003308875
4,34	11,9994662	9,04E-05	18,04931445	4,485	0,003308352
4,34	11,99243525	9,04E-05	18,06671143	4,485	0,003305738
4,34	11,95729183	9,03E-05	18,15369632	4,485	0,003292674
4,34	11,78185934	9,01E-05	18,58862076	4,485	0,003227457
4,34	11,75854875	9,00E-05	18,6465	4,485	0,003218791
4,34	11,64212179	8,99E-05	18,93589619	4,485	0,00317551
4,34	11,51679471	8,97E-05	19,248	4,485	0,00312892
4,34	11,27594796	8,94E-05	19,8495	4,485	0,003039386
4,34	11,03451427	8,90E-05	20,451	4,485	0,002950189
4,34	10,79281662	8,87E-05	21,0525	4,485	0,00286133
4,34	10,55203667	8,84E-05	21,654	4,485	0,002772808
4,34	10,3087749	8,80E-05	22,2555	4,485	0,002684623
4,34	10,06526259	8,77E-05	14,98270982	7,095492851	0,002596776
4,34	9,822685812	8,73E-05	4,034977497	10,76488518	0,002509266
4,34	9,676933044	8,71E-05	3,436149396	10,95258682	0,002422034
4,34	9,542890799	8,69E-05	2,791351602	11,1491944	0,002334994
4,34	9,409140979	8,68E-05	2,097325739	11,35549424	0,002248143
4,34	9,275683602	8,66E-05	1,363070453	11,56820453	0,002161483
4,34	9,25223725	8,65E-05	1,230233169	11,60610943	0,002146258
4,34	9,25223725	8,65E-05	1,230233169	11,60610943	0,002146258
4,34	9,25223725	8,65E-05	1,230233169	11,60610943	0,002146258
4,34	9,142518686	8,64E-05	0,587464704	11,78751026	0,002075012
4,339942278	9,046861133	8,62E-05	3,55E-15	11,9505068	0,002012897
4,339942278	9,046861133	8,62E-05	-9,86E-14	11,9505068	0,002012897
4,339869095	8,993559312	8,62E-05	-0,238427585	12,01612346	0,001988733
4,339768007	8,921918419	8,61E-05	-0,478694416	12,08174012	0,001964595
4,339485497	8,778887628	8,59E-05	-0,965826057	12,21333149	0,001916404
4,339385871	8,738357678	8,58E-05	-1,105611779	12,25074148	0,001902749
4,338748125	8,536112256	8,55E-05	-1,551391208	12,35090596	0,001834607
4,338547283	8,484220986	8,54E-05	-1,552976273	12,33885669	0,001817123
4,337478538	8,255040335	8,51E-05	-1,601879252	12,30039139	0,00173996
4,33734987	8,230860617	8,51E-05	-1,612654532	12,2982722	0,001731857
4,336657403	8,11011624	8,49E-05	-1,666228253	12,28767624	0,001691393
4,335807525	7,977540595	8,47E-05	-1,758164317	12,2871109	0,001646964
4,335	7,725354657	8,43E-05	-1,937318443	12,28725776	0,001562451
5,667696959	7,49107562	8,40E-05	-2,120279063	12,28865808	0,00148442
6,563198042	7,310016117	8,37E-05	-2,298673048	12,28847388	0,001425558
7,420079068	7,159779802	8,35E-05	-2,474351264	12,2874477	0,001376716
8,350701023	7,041099806	8,33E-05	-2,65309173	12,2874463	0,001338134
9,635588145	6,961379861	8,32E-05	-2,831836275	12,28744628	0,001312217
11,18146029	6,928595762	8,32E-05	-3,010580902	12,28744628	0,001301559
12,8319974	6,951965417	8,32E-05	-3,18932553	12,28744628	0,001309157
14,47396169	7,032496877	8,33E-05	-3,368070157	12,28744628	0,001335337
16,06343184	7,168397792	8,35E-05	-3,501847986	12,27259145	0,001379518
17,33593931	7,350941565	8,38E-05	-3,455625776	12,19898909	0,001438863
18,25262063	7,570026262	8,41E-05	-3,231164816	12,06960142	0,001510398
18,85371382	7,808250163	8,45E-05	-2,905417498	11,9112081	0,001590231
19,19355473	8,061267268	8,48E-05	-2,44529593	11,71391576	0,001675023
19,32693632	8,320870713	8,52E-05	-1,835419025	11,47399904	0,001762086
19,30344887	8,579892626	8,56E-05	-1,072941957	11,1919134	0,001849357
19,1667565	8,835000235	8,59E-05	-0,183065033	10,87737759	0,00193531
19,1302691	8,883737275	8,60E-05	-4,32E-13	10,81412206	0,001951731
19,1302691	8,883737275	8,60E-05	1,44E-15	10,81412206	0,001951731
18,95343799	9,056073727	8,62E-05	0,712159682	10,57156054	0,002018879
18,74805668	9,156517432	8,64E-05	1,427068406	10,33455903	0,002084102
