CWFlow	Level	OutFlow	TempOF	Steam
4,34	12,00121	9,04E-05	4,485	18,045
4,34	12,00115375	9,04E-05	4,485	18,04513918
4,34	12,00087249	9,04E-05	4,485	18,04583505
4,34	11,9994662	9,04E-05	4,485	18,04931445
4,34	11,99243525	9,04E-05	4,485	18,06671143
4,34	11,95729183	9,03E-05	4,485	18,15369632
4,34	11,78185934	9,01E-05	4,485	18,58862076
4,34	11,75854875	9,00E-05	4,485	18,6465
4,34	11,64212179	8,99E-05	4,485	18,93589619
4,34	11,51679471	8,97E-05	4,485	19,248
4,34	11,27594796	8,94E-05	4,485	19,8495
4,34	11,03451427	8,90E-05	4,485	20,451
4,34	10,79281662	8,87E-05	4,485	21,0525
4,34	10,55203667	8,84E-05	4,485	21,654
4,34	10,3087749	8,80E-05	4,485	22,2555
4,34	10,06526259	8,77E-05	7,095492851	14,98270982
4,34	9,822685812	8,73E-05	10,76488518	4,034977497
4,34	9,676933044	8,71E-05	10,95258682	3,436149396
4,34	9,542890799	8,69E-05	11,1491944	2,791351602
4,34	9,409140979	8,68E-05	11,35549424	2,097325739
4,34	9,275683602	8,66E-05	11,56820453	1,363070453
4,34	9,25223725	8,65E-05	11,60610943	1,230233169
4,34	9,25223725	8,65E-05	11,60610943	1,230233169
4,34	9,25223725	8,65E-05	11,60610943	1,230233169
4,34	9,142518686	8,64E-05	11,78751026	0,587464704
4,339942278	9,046861133	8,62E-05	11,9505068	3,55E-15
4,339942278	9,046861133	8,62E-05	11,9505068	-9,86E-14
4,339869095	8,993559312	8,62E-05	12,01612346	-0,238427585
4,339768007	8,921918419	8,61E-05	12,08174012	-0,478694416
4,339485497	8,778887628	8,59E-05	12,21333149	-0,965826057
4,339385871	8,738357678	8,58E-05	12,25074148	-1,105611779
4,338748125	8,536112256	8,55E-05	12,35090596	-1,551391208
4,338547283	8,484220986	8,54E-05	12,33885669	-1,552976273
4,337478538	8,255040335	8,51E-05	12,30039139	-1,601879252
4,33734987	8,230860617	8,51E-05	12,2982722	-1,612654532
4,336657403	8,11011624	8,49E-05	12,28767624	-1,666228253
4,335807525	7,977540595	8,47E-05	12,2871109	-1,758164317
4,335	7,725354657	8,43E-05	12,28725776	-1,937318443
5,667696959	7,49107562	8,40E-05	12,28865808	-2,120279063
6,563198042	7,310016117	8,37E-05	12,28847388	-2,298673048
7,420079068	7,159779802	8,35E-05	12,2874477	-2,474351264
8,350701023	7,041099806	8,33E-05	12,2874463	-2,65309173
9,635588145	6,961379861	8,32E-05	12,28744628	-2,831836275
11,18146029	6,928595762	8,32E-05	12,28744628	-3,010580902
12,8319974	6,951965417	8,32E-05	12,28744628	-3,18932553
14,47396169	7,032496877	8,33E-05	12,28744628	-3,368070157
16,06343184	7,168397792	8,35E-05	12,27259145	-3,501847986
17,33593931	7,350941565	8,38E-05	12,19898909	-3,455625776
18,25262063	7,570026262	8,41E-05	12,06960142	-3,231164816
18,85371382	7,808250163	8,45E-05	11,9112081	-2,905417498
19,19355473	8,061267268	8,48E-05	11,71391576	-2,44529593
19,32693632	8,320870713	8,52E-05	11,47399904	-1,835419025
19,30344887	8,579892626	8,56E-05	11,1919134	-1,072941957
19,1667565	8,835000235	8,59E-05	10,87737759	-0,183065033
19,1302691	8,883737275	8,60E-05	10,81412206	-4,32E-13
19,1302691	8,883737275	8,60E-05	10,81412206	1,44E-15
18,95343799	9,056073727	8,62E-05	10,57156054	0,712159682
18,74805668	9,156517432	8,64E-05	10,33455903	1,427068406
18,6966701	9,180216884	8,64E-05	10,2795671	1,595786231
18,44852299	9,299558637	8,66E-05	10,0088907	2,443687216
18,24586335	9,41465194	8,68E-05	9,766589031	3,232173806
18,09192811	9,526356395	8,69E-05	9,555082363	3,950962421
17,9834734	9,635515694	8,71E-05	9,372846219	4,601588539
17,91385359	9,742881359	8,72E-05	9,216221863	5,192281006
17,87485174	9,890684077	8,74E-05	9,089551263	5,707240669
17,84880184	10,08012942	8,77E-05	8,969490273	6,214639371
17,80758553	10,26786149	8,80E-05	8,870127543	6,670943236
17,73433269	10,45307479	8,82E-05	8,778953718	7,112158723
17,62713188	10,63200738	8,85E-05	8,700825028	7,522702313
17,48844863	10,80573845	8,87E-05	8,63287516	7,90995576
17,32258019	10,97406746	8,89E-05	8,577118142	8,266903295
17,13399346	11,13624155	8,92E-05	8,533834644	8,591336422
16,92714426	11,29030734	8,94E-05	8,50010268	8,890924058
16,70667785	11,43684489	8,96E-05	8,47349016	9,172156515
16,47700131	11,57590615	8,98E-05	8,452986291	9,437409746
16,24173424	11,70730464	9,00E-05	8,437790055	9,68851582
16,00382251	11,83150326	9,01E-05	8,427226891	9,927004453
15,76554157	11,94870908	9,03E-05	8,420011795	10,15631454
15,52850017	12,05896226	9,05E-05	8,41467831	10,38059688
15,2938399	12,16233986	9,06E-05	8,410878362	10,60073765
15,06239083	12,2589453	9,07E-05	8,408635066	10,81650878
14,83475629	12,34890096	9,09E-05	8,408128101	11,02721439
14,62184807	12,43234287	9,10E-05	8,410640557	11,22878491
14,43552002	12,50940677	9,11E-05	8,416676199	11,41934656
14,24909674	12,58017099	9,12E-05	8,425474413	11,60087327
14,06072497	12,64461246	9,13E-05	8,436665234	11,77421977
13,87133045	12,70270478	9,13E-05	8,450041885	11,93977861
13,68226549	12,75445992	9,14E-05	8,465460154	12,09777134
13,49496549	12,79993522	9,15E-05	8,482788321	12,24839554
13,31083297	12,83923386	9,15E-05	8,501907913	12,39182188
13,13116891	12,87294125	9,16E-05	8,52304769	12,52718114
12,95704601	12,90166867	9,16E-05	8,546462663	12,65348647
12,7891927	12,9255977	9,17E-05	8,571957801	12,77110193
12,62807789	12,94492484	9,17E-05	8,599295559	12,88054632
12,47402961	12,95985668	9,17E-05	8,630033998	12,97691628
12,32726607	12,97060647	9,17E-05	8,663514664	13,06181628
12,18791634	12,97739141	9,17E-05	8,698627239	13,13838943
12,05603784	12,98043039	9,17E-05	8,735258699	13,20681759
11,93340285	12,97994229	9,17E-05	8,773352592	13,26712271
11,84106483	12,97614312	9,17E-05	8,812804933	13,31947059
11,75246046	12,96921931	9,17E-05	8,853320164	13,36463022
11,66592232	12,95927265	9,17E-05	8,894791207	13,40282185
11,58174618	12,94639012	9,17E-05	8,937093615	13,43432911
11,50047969	12,93067394	9,17E-05	8,980045189	13,4596236
11,42273297	12,91224636	9,16E-05	9,023492708	13,47910936
11,34911752	12,89125056	9,16E-05	9,067345798	13,49301224
11,28020684	12,86784995	9,16E-05	9,111502991	13,50160112
11,21650941	12,84222622	9,15E-05	9,155859049	13,50516651
11,158451	12,81457669	9,15E-05	9,200317608	13,50398268
11,10636482	12,78511122	9,15E-05	9,244802933	13,49827061
11,06048772	12,75404882	9,14E-05	9,289249264	13,48822818
11,02096114	12,72161425	9,13E-05	9,333591042	13,47405926
10,98783545	12,6880348	9,13E-05	9,377764756	13,45596805
10,96107683	12,65353719	9,13E-05	9,421706954	13,43416484
