CWFlow	Level	OutFlow	Steam	Entalpy	Volume
4,34	12,00121	9,04E-05	18,045	13,99314729	0,003309
4,34	12,00115375	9,04E-05	18,04513918	13,99321419	0,003308979
4,34	12,00087249	9,04E-05	18,04583505	13,99354868	0,003308875
4,34	11,9994662	9,04E-05	18,04931445	13,99522113	0,003308352
4,34	11,99243525	9,04E-05	18,06671143	14,00358338	0,003305738
4,34	11,95729183	9,03E-05	18,15369632	14,04539465	0,003292674
4,34	11,78185934	9,01E-05	18,58862076	-1,692491358	0,003227457
4,34	11,75854875	9,00E-05	18,6465	-1,747567444	0,003218791
4,34	11,64212179	8,99E-05	18,93589619	-1,948874783	0,00317551
4,34	11,51679471	8,97E-05	19,248	-1,984520609	0,00312892
4,34	11,27594796	8,94E-05	19,8495	-2,053058634	0,003039386
4,34	11,03451427	8,90E-05	20,451	-2,358910736	0,002950189
4,34	10,79281662	8,87E-05	21,0525	-2,753844219	0,00286133
4,34	10,55203667	8,84E-05	21,654	-3,157648242	0,002772808
4,34	10,3087749	8,80E-05	22,2555	-3,568568051	0,002684623
4,34	10,06526259	8,77E-05	14,98270982	-8,604706985	0,002596776
4,34	9,822685812	8,73E-05	4,034977497	-19,4417726	0,002509266
4,34	9,676933044	8,71E-05	3,436149396	-19,29348008	0,002422034
4,34	9,542890799	8,69E-05	2,791351602	-19,20435212	0,002334994
4,34	9,409140979	8,68E-05	2,097325739	-19,16226898	0,002248143
4,34	9,275683602	8,66E-05	1,363070453	-19,12108218	0,002161483
4,34	9,25223725	8,65E-05	1,230233169	-19,11371916	0,002146258
4,34	9,25223725	8,65E-05	1,230233169	-19,11371916	0,002146258
4,34	9,25223725	8,65E-05	1,230233169	-19,11371916	0,002146258
4,34	9,142518686	8,64E-05	0,587464704	-19,08562949	0,002075012
4,339942278	9,046861133	8,62E-05	3,55E-15	-19,04921937	0,002012897
4,339942278	9,046861133	8,62E-05	-9,86E-14	-19,04910504	0,002012897
4,339869095	8,993559312	8,62E-05	-0,238427585	-19,03239289	0,001988733
4,339768007	8,921918419	8,61E-05	-0,478694416	-19,01011504	0,001964595
4,339485497	8,778887628	8,59E-05	-0,965826057	-18,9656811	0,001916404
4,339385871	8,738357678	8,58E-05	-1,105611779	-18,9530725	0,001902749
4,338748125	8,536112256	8,55E-05	-1,551391208	-18,89002386	0,001834607
4,338547283	8,484220986	8,54E-05	-1,552976273	-18,87381219	0,001817123
4,337478538	8,255040335	8,51E-05	-1,601879252	-18,80154095	0,00173996
4,33734987	8,230860617	8,51E-05	-1,612654532	-18,79354862	0,001731857
4,336657403	8,11011624	8,49E-05	-1,666228253	-18,75358551	0,001691393
4,335807525	7,977540595	8,47E-05	-1,758164317	-18,70960544	0,001646964
4,335	7,725354657	8,43E-05	-1,937318443	-18,62565141	0,001562451
5,667696959	7,49107562	8,40E-05	-2,120279063	-16,70102825	0,00148442
6,563198042	7,310016117	8,37E-05	-2,298673048	-15,38121583	0,001425558
7,420079068	7,159779802	8,35E-05	-2,474351264	-14,21782207	0,001376716
