CWFlow	Level	OutFlow	TempOF	Steam
18,95343799	9,056073727	8,62E-05	10,57156054	0,712159682
18,74805668	9,156517432	8,64E-05	10,33455903	1,427068406
18,6966701	9,180216884	8,64E-05	10,2795671	1,595786231
18,44852299	9,299558637	8,66E-05	10,0088907	2,443687216
18,24586335	9,41465194	8,68E-05	9,766589031	3,232173806
18,09192811	9,526356395	8,69E-05	9,555082363	3,950962421
17,9834734	9,635515694	8,71E-05	9,372846219	4,601588539
17,91385359	9,742881359	8,72E-05	9,216221863	5,192281006
17,87485174	9,890684077	8,74E-05	9,089551263	5,707240669
17,84880184	10,08012942	8,77E-05	8,969490273	6,214639371
17,80758553	10,26786149	8,80E-05	8,870127543	6,670943236
17,73433269	10,45307479	8,82E-05	8,778953718	7,112158723
17,62713188	10,63200738	8,85E-05	8,700825028	7,522702313
17,48844863	10,80573845	8,87E-05	8,63287516	7,90995576
17,32258019	10,97406746	8,89E-05	8,577118142	8,266903295
17,13399346	11,13624155	8,92E-05	8,533834644	8,591336422
16,92714426	11,29030734	8,94E-05	8,50010268	8,890924058
16,70667785	11,43684489	8,96E-05	8,47349016	9,172156515
16,47700131	11,57590615	8,98E-05	8,452986291	9,437409746
16,24173424	11,70730464	9,00E-05	8,437790055	9,68851582
16,00382251	11,83150326	9,01E-05	8,427226891	9,927004453
15,76554157	11,94870908	9,03E-05	8,420011795	10,15631454
15,52850017	12,05896226	9,05E-05	8,41467831	10,38059688
15,2938399	12,16233986	9,06E-05	8,410878362	10,60073765
15,06239083	12,2589453	9,07E-05	8,408635066	10,81650878
14,83475629	12,34890096	9,09E-05	8,408128101	11,02721439
14,62184807	12,43234287	9,10E-05	8,410640557	11,22878491
14,43552002	12,50940677	9,11E-05	8,416676199	11,41934656
14,24909674	12,58017099	9,12E-05	8,425474413	11,60087327
14,06072497	12,64461246	9,13E-05	8,436665234	11,77421977
13,87133045	12,70270478	9,13E-05	8,450041885	11,93977861
13,68226549	12,75445992	9,14E-05	8,465460154	12,09777134
13,49496549	12,79993522	9,15E-05	8,482788321	12,24839554
13,31083297	12,83923386	9,15E-05	8,501907913	12,39182188
13,13116891	12,87294125	9,16E-05	8,52304769	12,52718114
12,95704601	12,90166867	9,16E-05	8,546462663	12,65348647
12,7891927	12,9255977	9,17E-05	8,571957801	12,77110193
12,62807789	12,94492484	9,17E-05	8,599295559	12,88054632
12,47402961	12,95985668	9,17E-05	8,630033998	12,97691628
12,32726607	12,97060647	9,17E-05	8,663514664	13,06181628
12,18791634	12,97739141	9,17E-05	8,698627239	13,13838943
12,05603784	12,98043039	9,17E-05	8,735258699	13,20681759
11,93340285	12,97994229	9,17E-05	8,773352592	13,26712271
11,84106483	12,97614312	9,17E-05	8,812804933	13,31947059
11,75246046	12,96921931	9,17E-05	8,853320164	13,36463022
11,66592232	12,95927265	9,17E-05	8,894791207	13,40282185
11,58174618	12,94639012	9,17E-05	8,937093615	13,43432911
11,50047969	12,93067394	9,17E-05	8,980045189	13,4596236
11,42273297	12,91224636	9,16E-05	9,023492708	13,47910936
11,34911752	12,89125056	9,16E-05	9,067345798	13,49301224
11,28020684	12,86784995	9,16E-05	9,111502991	13,50160112
11,21650941	12,84222622	9,15E-05	9,155859049	13,50516651
11,158451	12,81457669	9,15E-05	9,200317608	13,50398268
11,10636482	12,78511122	9,15E-05	9,244802933	13,49827061
11,06048772	12,75404882	9,14E-05	9,289249264	13,48822818
11,02096114	12,72161425	9,13E-05	9,333591042	13,47405926
10,98783545	12,6880348	9,13E-05	9,377764756	13,45596805
10,96107683	12,65353719	9,13E-05	9,421706954	13,43416484
10,94057573	12,61834479	9,12E-05	9,465351294	13,40887511
10,92615629	12,58267513	9,12E-05	9,508629456	13,380337
10,91758608	12,54673784	9,11E-05	9,551471528	13,34880033
10,91458585	12,51073282	9,11E-05	9,593814314	13,31450176
10,91683896	12,47484884	9,10E-05	9,635660777	13,2774815
10,92400014	12,43926245	9,10E-05	9,676847477	13,23828798
10,93570366	12,40413712	9,09E-05	9,717296738	13,19722409
10,95157059	12,36962274	9,09E-05	9,75693032	13,1546022
10,97121525	12,33585534	9,08E-05	9,795670278	13,11074161
10,99425084	12,30295695	9,08E-05	9,833439961	13,0659655
11,02029422	12,27103575	9,08E-05	9,870164976	13,02059782
11,04896994	12,24018631	9,07E-05	9,905774069	12,9749604
11,0799135	12,21048993	9,07E-05	9,9401983	12,92937512
11,112774	12,18201517	9,06E-05	9,973372995	12,88415781
11,1472162	12,15481839	9,06E-05	10,0052416	12,83960599
11,18292206	12,12894432	9,05E-05	10,03575502	12,79600012
11,21959184	12,10442682	9,05E-05	10,06487097	12,75360474
11,25694478	12,08128946	9,05E-05	10,09255497	12,71266484
11,2947195	12,05954633	9,05E-05	10,11878078	12,67340381
11,33267412	12,03920268	9,04E-05	10,14353061	12,63602175
11,37058614	12,02025565	9,04E-05	10,16679537	12,60069414
11,40825212	12,00269498	9,04E-05	10,1885747	12,56757064
11,44548728	11,9865037	9,03E-05	10,20887694	12,5367745
11,48212494	11,97165877	9,03E-05	10,2277187	12,50840281
11,51801588	11,95813175	9,03E-05	10,24512456	12,48252677
11,55302761	11,94588938	9,03E-05	10,26112664	12,45919211
11,58704366	11,93489423	9,03E-05	10,27576404	12,43841998
11,61996282	11,92510517	9,03E-05	10,28908228	12,42020809
11,65169826	11,916478	9,03E-05	10,30113264	12,40453206
11,68217684	11,90896587	9,03E-05	10,31197139	12,39134705
11,7113382	11,90251979	9,02E-05	10,32165912	12,38058952
11,73913406	11,89708907	9,02E-05	10,33025992	12,37217909
11,76552734	11,89262173	9,03E-05	10,33784064	12,36602058
11,79049147	11,88906485	9,02E-05	10,34447018	12,36200594
11,81400958	11,88636498	9,02E-05	10,35021867	12,36001632
11,83607379	11,88446843	9,02E-05	10,35515687	12,35992407
11,85668449	11,88332158	9,02E-05	10,35935544	12,36159467
11,87584966	11,88287117	9,02E-05	10,36288435	12,36488868
11,89358415	11,88306453	9,02E-05	10,36581233	12,36966342
11,90990912	11,8838498	9,02E-05	10,36820633	12,37577475
11,92485134	11,88517618	9,02E-05	10,37013111	12,38307852
11,93844264	11,88699405	9,02E-05	10,37164885	12,39143199
11,95359765	11,88925518	9,02E-05	10,3728188	12,4006951
11,96727323	11,89191023	9,02E-05	10,37369704	12,41073156
11,97883262	11,8949015	9,02E-05	10,37433626	12,42140979
11,9883912	11,89817085	9,02E-05	10,37478561	12,43260373
11,99615855	11,90166518	9,02E-05	10,37509061	12,44419352
12,00235343	11,90533751	9,02E-05	10,37529308	12,45606598
12,00718549	11,90914695	9,03E-05	10,37543114	12,46811507
