U	Z	BC	SD	FB	CN	SF	FT	SO
-1,02885789	-0,055623501	-0,094150149	0,008864251	-0,156585294	-0,037766875	9,905849851	2,412865681	0,17709142
0,545433499	0,059997253	0,133072261	0,017708227	0,08614518	-0,037644896	10,13307226	-2,682557763	0,162436897
0,224812637	-0,067020051	-0,122121277	0,014913606	-0,152382677	-0,037567319	9,877878723	-0,251172778	0,141732
-0,636794924	-0,078404063	-0,13381781	0,017907206	-0,13291214	-0,037748336	9,86618219	-3,868226523	0,096630322
0,007438039	-0,261365366	-0,4722845	0,223052649	-0,418940864	-0,038289788	9,5277155	-1,585431281	0,019676212
-0,002620197	-0,334401936	-0,573174128	0,328528581	-0,450421232	-0,03926109	9,426825872	1,664041126	-0,091057452
0,056516443	-0,250674524	-0,370404988	0,137199855	-0,212018182	-0,040118467	9,629595012	0,820030262	-0,178709437
-1,022039981	-0,205425938	-0,26251035	0,068911684	-0,105062397	-0,040666967	9,73748965	-1,011079497	-0,225609903
-0,242265757	-0,246476125	-0,330356625	0,1091355	-0,175394383	-0,041180269	9,669643375	0,345232703	-0,261073389
0,545292071	-0,222312997	-0,269124848	0,072428184	-0,116344544	-0,041694815	9,730875152	0,263884454	-0,289217379
1,980638866	-0,201406463	-0,220815756	0,048759598	-0,07842016	-0,042099336	9,779184244	0,333848642	-0,300355864
0,111102418	-0,176861854	-0,170543962	0,029085243	-0,04325059	-0,0424045	9,829456038	-1,873536	-0,297345138
3,533657539	-0,257291186	-0,324893987	0,105556103	-0,197464108	-0,042819907	9,675106013	-0,159637526	-0,302392079
-1,000993827	-0,255861328	-0,309916032	0,096047947	-0,172299342	-0,043368025	9,690083968	1,400500174	-0,317040269
1,134810007	-0,179621502	-0,15489312	0,023991879	-0,025610414	-0,043740509	9,84510688	4,116170852	-0,311179587
0,758663035	0,025954452	0,232213111	0,053922929	0,309319821	-0,043562862	10,23221311	-0,010008275	-0,25084936
0,291716238	0,034057352	0,21025947	0,044209045	0,225657764	-0,043034531	10,21025947	6,857055608	-0,161679977
2,245273548	0,367088341	0,812689268	0,660463846	0,733748719	-0,041906372	10,81268927	-2,814676922	-0,022520493
-1,094656068	0,23689811	0,483924336	0,234182763	0,326844462	-0,040538376	10,48392434	1,785695679	0,12379086
1,258890425	0,322345724	0,601909878	0,362295501	0,406152102	-0,039368665	10,60190988	0,915416192	0,234125546
0,336023753	0,363866806	0,630324402	0,397308851	0,397309932	-0,038058049	10,6303244	-0,046891926	0,341988472
1,496371762	0,357000771	0,568945162	0,323698597	0,314411674	-0,036786001	10,56894516	3,921601935	0,429500944
-0,66582184	0,536693684	0,872811912	0,761800634	0,580866118	-0,035261972	10,87281191	-3,062124047	0,5264
-0,088627077	0,38145023	0,516170513	0,266431998	0,208924755	-0,033815912	10,51617051	2,001610338	0,598625554
-0,459909259	0,464949704	0,650802777	0,423544254	0,347561311	-0,032578015	10,65080278	0,02124473	0,637161936
-0,261000564	0,452680778	0,593743027	0,352530782	0,288367722	-0,03127154	10,59374303	2,399000498	0,671112135
0,085050194	0,552001106	0,75736184	0,573596956	0,439959886	-0,029853805	10,75736184	-2,089005519	0,706234717
-0,009841386	0,436109931	0,499382435	0,249382816	0,185160993	-0,02854734	10,49938243	-0,676636588	0,720908241
0,357199889	0,386174602	0,392794405	0,154287445	0,109508172	-0,0276026	10,39279441	-1,312612924	0,694282226
1,365077797	0,305659078	0,238225471	0,056751375	-0,002405417	-0,026922256	10,23822547	-0,7602266	0,640178993
-0,718739223	0,251734283	0,147731154	0,021824494	-0,044635541	-0,026485936	10,14773115	0,022369235	0,564655936
0,415523079	0,235872195	0,136369025	0,018596511	-0,015900552	-0,026149583	10,13636902	-0,156051797	0,485164278
0,179096834	0,212489456	0,109865577	0,012070445	-0,012280729	-0,025852238	10,10986558	0,6045342	0,40944621
1,236352517	0,226260475	0,154699676	0,02393199	0,050648527	-0,025534778	10,15469968	2,575455917	0,344319419
-1,397269668	0,334633271	0,374103982	0,139953789	0,258969201	-0,024948109	10,37410398	-1,811582428	0,313886259
-1,722115094	0,234391625	0,176005139	0,030977809	0,055116185	-0,024355362	10,17600514	0,655041018	0,289517466
-1,234309136	0,251628562	0,219422371	0,048146177	0,105440077	-0,023910208	10,21942237	0,138771297	0,256681366
0,494105399	0,244726255	0,212112592	0,044991752	0,100200938	-0,023431578	10,21211259	2,260592441	0,233085291
-0,657828315	0,33909197	0,397775771	0,158225564	0,270966268	-0,022769242	10,39777577	-3,192315107	0,232613746
-0,864846566	0,173855314	0,072389273	0,005240207	-0,048690375	-0,022264991	10,07238927	-3,51661946	0,219234416
-2,186814529	-0,006570125	-0,252899146	0,063957978	-0,316510371	-0,022411768	9,747100854	-2,215719125	0,147002037
-0,785680364	-0,123404938	-0,430798576	0,185587413	-0,415626301	-0,023055983	9,569201424	1,419009375	0,036293722
