CWFlow	Level	OutFlow	TempOF	Steam	Volume
9,16E-05	20,22063385	9,02E-05	41,76960899	6,671663684	0,003271583
8,84E-05	20,15331927	9,01E-05	41,0391013	6,356558816	0,003239641
9,31E-05	20,26237	9,03E-05	42,06266717	6,827513247	0,003286339
9,15E-05	20,2330755	9,02E-05	41,69490932	6,677539065	0,003270975
9,07E-05	20,22059472	9,02E-05	41,48898156	6,600923777	0,003262974
8,96E-05	20,20358965	9,01E-05	41,23289804	6,502580833	0,003252827
9,18E-05	20,26055726	9,03E-05	41,71285344	6,733844591	0,003275667
9,38E-05	20,31453994	9,04E-05	42,16033735	6,950785442	0,003297101
9,21E-05	20,28551186	9,03E-05	41,77601118	6,795708376	0,003281362
9,26E-05	20,30585357	9,03E-05	41,88447393	6,860789008	0,00328767
9,16E-05	20,29245239	9,03E-05	41,65529597	6,774446296	0,00327887
9,28E-05	20,32928512	9,03E-05	41,92885555	6,912313986	0,003292532
9,03E-05	20,28171428	9,02E-05	41,35929623	6,672339948	0,003268454
9,27E-05	20,34702889	9,03E-05	41,91994378	6,936886416	0,003294876
9,23E-05	20,34671234	9,03E-05	41,82599858	6,907658759	0,003291972
9,16E-05	20,34020776	9,03E-05	41,67220055	6,850550138	0,003286332
9,19E-05	20,35803062	9,03E-05	41,7639642	6,902086387	0,003291611
9,33E-05	20,39825007	9,04E-05	42,0822	7,053691103	0,003306949
9,17E-05	20,37233775	9,03E-05	41,7418082	6,90951458	0,003292762
9,26E-05	20,40024375	9,04E-05	41,94244321	7,006054379	0,003302698
9,03E-05	20,35985215	9,03E-05	41,46307244	6,797258916	0,003282149
9,28E-05	20,42366868	9,04E-05	42,0288568	7,054666659	0,003308267
9,34E-05	20,44595859	9,04E-05	42,18253281	7,126602299	0,003315881
9,10E-05	20,40010415	9,03E-05	41,65798961	6,894097776	0,00329309
9,05E-05	20,39816791	9,03E-05	41,57590358	6,858380941	0,003290013
9,05E-05	20,40662474	9,03E-05	41,60106023	6,86958973	0,003291661
9,21E-05	20,45062042	9,04E-05	41,98494085	7,04024339	0,003309281
9,06E-05	20,4249871	9,03E-05	41,67587858	6,900077513	0,003295844
9,13E-05	20,44628166	9,04E-05	41,83944228	6,970406603	0,003303476
8,99E-05	20,4231993	9,03E-05	41,56257364	6,842955011	0,003291346
9,23E-05	20,48362495	9,04E-05	42,12410156	7,08968844	0,003316648
9,05E-05	20,44920287	9,03E-05	41,74043885	6,91301763	0,003299619
9,21E-05	20,49106072	9,04E-05	42,12282359	7,078285525	0,00331679
9,19E-05	20,49355538	9,04E-05	42,1147777	7,068351997	0,003316445
9,09E-05	20,47754871	9,04E-05	41,92486499	6,976540642	0,003307912
9,14E-05	20,49241296	9,04E-05	42,04674596	7,023672493	0,003313272
9,07E-05	20,48260458	9,04E-05	41,92491639	6,961366107	0,003307684
9,06E-05	20,48541623	9,04E-05	41,93222815	6,95641173	0,003307824
9,21E-05	20,52287155	9,04E-05	42,28885311	7,10731725	0,003323542
9,09E-05	20,50138733	9,04E-05	42,05895373	6,99560568	0,003312986
8,97E-05	20,47886702	9,03E-05	41,82158142	6,880277204	0,003302054
9,24E-05	20,54111055	9,05E-05	42,4347419	7,145082453	0,003329117
8,97E-05	20,48498781	9,03E-05	41,86712077	6,881627136	0,003303333
9,11E-05	20,51993425	9,04E-05	42,21303813	7,026555134	0,003318365
8,98E-05	20,49335062	9,04E-05	41,94644441	6,897430177	0,003305967
9,03E-05	20,50671964	9,04E-05	42,08208854	6,948094025	0,003311522
9,10E-05	20,52375146	9,04E-05	42,25697468	7,016239568	0,003318799
9,16E-05	20,53922052	9,05E-05	42,41873632	7,078470523	0,003325458
9,01E-05	20,50875005	9,04E-05	42,12348359	6,936289899	0,00331165
9,08E-05	20,52426038	9,04E-05	42,29028332	7,000732616	0,003318479
9,02E-05	20,51192104	9,04E-05	42,18068177	6,941568504	0,003312922
9,04E-05	20,51714851	9,04E-05	42,24868478	6,961852062	0,003315288
8,91E-05	20,48981038	9,03E-05	41,99280209	6,837327425	0,00330315
9,02E-05	20,51303177	9,04E-05	42,24411347	6,939682683	0,00331368
9,18E-05	20,54856391	9,05E-05	42,61995711	7,097804597	0,003329766
8,94E-05	20,4957561	9,04E-05	42,1136511	6,86151008	0,003306392
8,89E-05	20,48439937	9,03E-05	42,02293176	6,811183735	0,003301598
9,18E-05	20,54758327	9,05E-05	42,6785226	7,094749437	0,003330176
9,14E-05	20,53724034	9,05E-05	42,59958108	7,049974341	0,003325905
9,10E-05	20,52743738	9,04E-05	42,52661227	7,008042392	0,003321904
8,87E-05	20,47577215	9,03E-05	42,03543733	6,779274722	0,003299205
9,17E-05	20,54174914	9,05E-05	42,72095168	7,07694931	0,003329137
8,96E-05	20,49210878	9,04E-05	42,25041825	6,85785269	0,003307379
8,89E-05	20,47683839	9,03E-05	42,12357714	6,792706246	0,003301005
8,94E-05	20,48660215	9,04E-05	42,24694623	6,839719502	0,003305835
9,05E-05	20,5086715	9,04E-05	42,49312468	6,941931692	0,003316174
9,08E-05	20,51367268	9,04E-05	42,56826951	6,967945323	0,003318882
9,04E-05	20,50227974	9,04E-05	42,47902484	6,920743168	0,003314259
8,99E-05	20,48994291	9,04E-05	42,37980622	6,869391678	0,003309212
9,19E-05	20,53455089	9,05E-05	42,8494228	7,072750126	0,003329626
8,95E-05	20,47829668	9,04E-05	42,30973587	6,825059593	0,003304926
9,03E-05	20,4935814	9,04E-05	42,48469686	6,897298989	0,00331221
8,94E-05	20,47354699	9,03E-05	42,3056736	6,811564143	0,003303689
9,06E-05	20,49756533	9,04E-05	42,56634138	6,922798383	0,003314856
8,82E-05	20,4435586	9,03E-05	42,04588648	6,685036554	0,003291117
9,08E-05	20,50013453	9,04E-05	42,63035767	6,941743089	0,003316817
8,91E-05	20,45939935	9,03E-05	42,24079593	6,763175583	0,003298983
9,01E-05	20,48048761	9,04E-05	42,46853167	6,86099361	0,003308781
8,91E-05	20,45788777	9,03E-05	42,25844057	6,763324963	0,003299025
8,90E-05	20,45274541	9,03E-05	42,22197509	6,743612102	0,003297058
8,83E-05	20,43711158	9,03E-05	42,07964752	6,676855904	0,003290382
8,92E-05	20,45656326	9,03E-05	42,28723444	6,766876545	0,003299379
9,04E-05	20,48211539	9,04E-05	42,55489598	6,884043589	0,003311086
9,07E-05	20,48750717	9,04E-05	42,620039	6,91091103	0,003313758
9,18E-05	20,51023235	9,05E-05	42,85761953	7,015152966	0,003324165
9,09E-05	20,48928182	9,04E-05	42,65756788	6,923926127	0,003315021
8,81E-05	20,42610665	9,03E-05	42,03441912	6,643718631	0,003286977
8,92E-05	20,45048391	9,03E-05	42,28597058	6,754910657	0,003298069
9,01E-05	20,46972598	9,04E-05	42,48537497	6,8429909	0,003306849
8,78E-05	20,4158519	9,02E-05	41,9528533	6,603940256	0,003282913
9,00E-05	20,46486619	9,04E-05	42,44848266	6,824876416	0,003304974
8,97E-05	20,45815803	9,03E-05	42,38618826	6,796472527	0,0033021
9,07E-05	20,47848093	9,04E-05	42,59353935	6,888816287	0,0033113
9,09E-05	20,48321368	9,04E-05	42,64435846	6,911302992	0,003313513
9,12E-05	20,49055381	9,04E-05	42,72065634	6,945318227	0,003316879
9,01E-05	20,46569875	9,04E-05	42,47444254	6,835224109	0,003305833
9,01E-05	20,46476619	9,04E-05	42,46692943	6,831990957	0,003305474
9,18E-05	20,5022554	9,04E-05	42,84314511	7,000466172	0,003322286
9,22E-05	20,51077132	9,05E-05	42,92917387	7,039254764	0,003326129
9,00E-05	20,46106697	9,04E-05	42,43258028	6,817565321	0,003303925
9,05E-05	20,47304527	9,04E-05	42,55242734	6,871625256	0,003309297
8,94E-05	20,44798632	9,03E-05	42,30154913	6,759951137	0,003298097
9,04E-05	20,47043059	9,04E-05	42,52538236	6,860624828	0,003308132
9,11E-05	20,48671376	9,04E-05	42,68731522	6,933657793	0,003315404
8,98E-05	20,45636118	9,03E-05	42,38263131	6,798047392	0,003301813
9,05E-05	20,47264683	9,04E-05	42,54409939	6,870933045	0,003309073
9,04E-05	20,4706163	9,04E-05	42,52220314	6,861835248	0,003308137
8,98E-05	20,45598173	9,03E-05	42,37409068	6,79630494	0,003301558
8,99E-05	20,45801219	9,03E-05	42,39247808	6,80524274	0,003302428
9,23E-05	20,51226478	9,05E-05	42,93296027	7,047670021	0,003326648
8,94E-05	20,44793847	9,03E-05	42,28754967	6,759746465	0,003297834
8,99E-05	20,45942964	9,03E-05	42,40023156	6,810844127	0,003302924
8,89E-05	20,43708959	9,03E-05	42,17453887	6,710603888	0,003292882
9,03E-05	20,46877752	9,04E-05	42,48908247	6,851948751	0,003307
9,08E-05	20,47997118	9,04E-05	42,59865706	6,901609477	0,003311952
8,99E-05	20,45950565	9,03E-05	42,39162979	6,809659423	0,003302743
9,07E-05	20,479192	9,04E-05	42,58612593	6,897251459	0,003311491
8,97E-05	20,45551017	9,03E-05	42,3469586	6,790876484	0,003300843
9,17E-05	20,50023768	9,04E-05	42,79191526	6,990422438	0,003320788
9,04E-05	20,47137724	9,04E-05	42,50103412	6,860861603	0,003307824
9,12E-05	20,48967131	9,04E-05	42,68174988	6,942174012	0,003315949
9,26E-05	20,52121861	9,05E-05	42,99505847	7,082751528	0,003330002
9,08E-05	20,4824395	9,04E-05	42,60517143	6,908817563	0,003312605
9,17E-05	20,50264793	9,04E-05	42,80523491	6,998684277	0,003321589
9,07E-05	20,47862746	9,04E-05	42,56309029	6,890756147	0,003310794
9,01E-05	20,46624495	9,04E-05	42,43741127	6,83487971	0,003305206
8,95E-05	20,45271665	9,03E-05	42,30036419	6,773886275	0,003299107
9,00E-05	20,46491397	9,04E-05	42,42066628	6,827950273	0,003304514
9,16E-05	20,49957116	9,04E-05	42,76566255	6,982468537	0,003319968
9,13E-05	20,49310835	9,04E-05	42,69955598	6,95310474	0,003317035
8,94E-05	20,45082729	9,03E-05	42,27536494	6,76357027	0,003298085
9,02E-05	20,46979022	9,04E-05	42,46371232	6,847941865	0,003306526
8,91E-05	20,44516298	9,03E-05	42,21625616	6,737387814	0,003295476
9,07E-05	20,48120105	9,04E-05	42,57555071	6,898153714	0,003311557
9,14E-05	20,49612489	9,04E-05	42,72379928	6,964510986	0,003318199
8,96E-05	20,45785178	9,03E-05	42,34017302	6,792981893	0,003301052
8,76E-05	20,4121386	9,02E-05	41,88223862	6,588197805	0,00328058
9,11E-05	20,49032896	9,04E-05	42,66342979	6,9375455	0,003315522
9,36E-05	20,54654093	9,05E-05	43,22492453	7,188621328	0,003340637
9,09E-05	20,48689341	9,04E-05	42,6279089	6,921576337	0,003313939
9,07E-05	20,48165018	9,04E-05	42,57501755	6,897853291	0,003311575
9,07E-05	20,48138998	9,04E-05	42,57203436	6,896433433	0,00331144
9,13E-05	20,49655277	9,04E-05	42,7233553	6,964005441	0,003318205
9,25E-05	20,52182315	9,05E-05	42,97582289	7,076797947	0,003329492
9,19E-05	20,50927911	9,05E-05	42,8502131	7,020496799	0,00332387
9,02E-05	20,47085732	9,04E-05	42,46588873	6,848483984	0,003306676
9,04E-05	20,47564115	9,04E-05	42,51367974	6,869709341	0,003308806
9,06E-05	20,48078999	9,04E-05	42,56517591	6,892583235	0,003311101
8,95E-05	20,45619625	9,03E-05	42,31929752	6,782459929	0,003300096
9,15E-05	20,50120866	9,04E-05	42,76952801	6,983639885	0,003320222
9,05E-05	20,47895254	9,04E-05	42,54711662	6,884000261	0,003310265
9,19E-05	20,51015736	9,05E-05	42,85935428	7,023459032	0,003324218
9,02E-05	20,4710169	9,04E-05	42,46817519	6,848337343	0,003306712
9,20E-05	20,51226964	9,05E-05	42,88096033	7,03275741	0,003325161
8,85E-05	20,4328849	9,03E-05	42,08739952	6,677682089	0,00328966
9,22E-05	20,51609018	9,05E-05	42,91976436	7,049742582	0,003326872
8,89E-05	20,44137616	9,03E-05	42,17295823	6,715576883	0,003293461
8,93E-05	20,45181547	9,03E-05	42,27770435	6,762238193	0,003298133
9,04E-05	20,47642153	9,04E-05	42,52413387	6,872264182	0,003309141
8,89E-05	20,4427608	9,03E-05	42,18790857	6,721721558	0,003294092
9,08E-05	20,48570542	9,04E-05	42,61774705	6,913776176	0,003313302
